cycSecs,cycMps,cycGrade,cycRoadType
751,13.83333312,0,0
752,13.8027774,0,0
753,13.68055556,0,0
754,13.46388923,0,0
755,13.2138888,0,0
756,12.85833359,0,0
757,12.13055505,0,0
758,10.91388914,0,0
759,9.469444487,0,0
760,8.066666921,0,0
761,6.59166654,0,0
762,5.116666688,0,0
763,3.641666571,0,0
764,3.011111153,0,0
765,3.311111132,0,0
766,4.211111069,0,0
767,5.316666497,0,0
768,6.208333439,0,0
769,7.108333376,0,0
770,8.369444211,0,0
771,9.802778032,0,0
772,11.09444406,0,0
773,12.34722243,0,0
774,13.18888876,0,0
775,14.14166662,0,0
776,15.01666705,0,0
777,15.63333299,0,0
778,16.13333384,0,0
779,16.60555522,0,0
780,16.96944449,0,0
781,17.24722226,0,0
782,17.45833291,0,0
783,17.57777744,0,0
784,17.65555594,0,0
785,17.78888914,0,0
786,17.97222137,0,0
787,18.10000102,0,0
788,18.14166599,0,0
789,18.14999898,0,0
790,18.17222171,0,0
791,18.24444453,0,0
792,18.32777871,0,0
793,18.21111043,0,0
794,17.6416662,0,0
795,16.58611086,0,0
796,15.16111162,0,0
797,13.68611124,0,0
798,12.46111128,0,0
799,11.76111115,0,0
800,11.50833342,0,0
801,11.4694447,0,0
802,11.6888894,0,0
803,12.41388851,0,0
804,13.4416665,0,0
805,14.27222252,0,0
806,14.65000047,0,0
807,14.71111086,0,0
808,14.57361115,0,0
809,14.24027761,0,0
810,13.7944444,0,0
811,13.1652779,0,0
812,12.13611073,0,0
813,11.03277736,0,0
814,9.8594443,0,0
815,8.64944458,0,0
816,7.316110929,0,0
817,6.06944455,0,0
818,4.994444317,0,0
819,4.729444186,0,0
820,5.004444652,0,0
821,6.004444228,0,0
822,7.343333562,0,0
823,8.360000186,0,0
824,9.29444419,0,0
825,9.461111493,0,0
826,9.730555216,0,0
827,10.20000034,0,0
828,10.80555598,0,0
829,11.48888906,0,0
830,12.22499953,0,0
831,12.8611109,0,0
832,13.23888885,0,0
833,13.40000047,0,0
834,13.53333367,0,0
835,13.70277829,0,0
836,13.83611149,0,0
837,13.95000034,0,0
838,14.14444394,0,0
839,14.39444436,0,0
840,14.5944447,0,0
841,14.79999966,0,0
842,15.13055589,0,0
843,15.48055543,0,0
844,15.69722176,0,0
845,15.79166624,0,0
846,15.84166633,0,0
847,15.89444478,0,0
848,16.01944394,0,0
849,16.31388876,0,0
850,16.6999997,0,0
851,16.97500017,0,0
852,17.12777774,0,0
853,17.29444398,0,0
854,17.48333295,0,0
855,17.59166718,0,0
856,17.60000017,0,0
857,17.65000025,0,0
858,17.9055553,0,0
859,18.27777863,0,0
860,18.54444504,0,0
861,18.72777727,0,0
862,19.11666658,0,0
863,19.75555632,0,0
864,20.07888794,0,0
865,20.22333357,0,0
866,20.38722144,0,0
867,20.72888904,0,0
868,21.10666699,0,0
869,21.26500024,0,0
870,21.25166575,0,0
871,21.17500093,0,0
872,21.05833266,0,0
873,20.93499925,0,0
874,20.76833301,0,0
875,20.53916719,0,0
876,20.1891666,0,0
877,19.81833352,0,0
878,19.5683331,0,0
879,19.45583344,0,0
880,19.43083233,0,0
881,19.16055467,0,0
882,18.87777752,0,0
883,18.87777752,0,0
884,18.88055589,0,0
885,18.91388787,0,0
886,18.99444368,0,0
887,19.05555513,0,0
888,19.07222324,0,0
889,19.0333324,0,0
890,18.91111162,0,0
891,18.69722154,0,0
892,18.38333342,0,0
893,18.00833384,0,0
894,17.66388893,0,0
895,17.39999983,0,0
896,17.24166658,0,0
897,17.1833335,0,0
898,17.1833335,0,0
899,17.16944483,0,0
900,17.06944466,0,0
901,16.92222171,0,0
902,16.58611086,0,0
903,15.16111162,0,0
904,13.68611124,0,0
905,12.46111128,0,0
906,11.76111115,0,0
907,11.50833342,0,0
908,11.4694447,0,0
909,11.6888894,0,0
910,12.41388851,0,0
911,13.4416665,0,0
912,14.27222252,0,0
913,14.65000047,0,0
914,14.98888863,0,0
915,15.82222197,0,0
916,16.1416662,0,0
917,16.43888897,0,0
918,16.39444457,0,0
919,16.40555594,0,0
920,16.5138891,0,0
921,16.80555556,0,0
922,17.30277803,0,0
923,17.75833342,0,0
924,18.07499992,0,0
925,17.8083335,0,0
926,17.40833282,0,0
927,17.21111086,0,0
928,17.02777757,0,0
929,16.9194444,0,0
930,16.81944423,0,0
931,16.71111107,0,0
932,16.6027779,0,0
933,16.48997413,0,0
934,16.26542939,0,0
935,15.98271476,0,0
936,15.73534012,0,0
937,15.56729635,0,0
938,15.42987188,0,0
939,15.26496357,0,0
940,15.10655403,0,0
941,15.01611286,0,0
942,14.9883567,0,0
943,14.98472214,0,0
944,14.98472214,0,0
945,14.99270757,0,0
946,15.06738345,0,0
947,15.27432654,0,0
948,15.50696691,0,0
949,15.61781671,0,0
950,15.5801328,0,0
951,15.31140433,0,0
952,14.6467442,0,0
953,13.44816632,0,0
954,11.973167,0,0
955,10.49816661,0,0
956,9.023166233,0,0
957,7.548166911,0,0
958,6.973437733,0,0
959,7.219998042,0,0
960,8.129210472,0,0
961,9.623404609,0,0
962,11.21813138,0,0
963,12.59173181,0,0
964,13.6045901,0,0
965,14.20771493,0,0
966,14.46037292,0,0
967,14.50339635,0,0
968,14.46284718,0,0
969,14.35714086,0,0
970,14.13339827,0,0
971,13.65946134,0,0
972,12.74730894,0,0
973,11.27230856,0,0
974,9.79730924,0,0
975,8.322308858,0,0
976,6.847309007,0,0
977,5.372308625,0,0
978,4.431662295,0,0
979,3.655306233,0,0
980,2.973838912,0,0
981,2.433257368,0,0
982,2.0131837,0,0
983,1.519401073,0,0
984,0.878081587,0,0
985,0.311935743,0,0
986,0,0,0
987,0,0,0
988,0,0,0
989,0,0,0
990,0,0,0
991,0,0,0
992,0,0,0
993,0,0,0
994,0,0,0
995,0,0,0
996,0,0,0
997,0,0,0
998,0,0,0
999,0,0,0
1000,0,0,0
1001,0,0,0
1002,0,0,0
1003,0,0,0
1004,0,0,0
1005,0,0,0
1006,0,0,0
1007,0,0,0
1008,0,0,0
1009,0,0,0
1010,0,0,0
1011,0,0,0
1012,0,0,0
1013,0,0,0
1014,0,0,0
1015,0,0,0
1016,0,0,0
1017,0,0,0
1018,0,0,0
1019,0,0,0
1020,0,0,0
1021,0,0,0
1022,0,0,0
1023,0,0,0
1024,0,0,0
1025,0,0,0
1026,0,0,0
1027,0.216666659,0,0
1028,0.999999974,0,0
1029,2.380555471,0,0
1030,4.055555662,0,0
1031,5.566666921,0,0
1032,6.780555513,0,0
1033,7.827777863,0,0
1034,8.813888762,0,0
1035,9.71666654,0,0
1036,10.45555539,0,0
1037,11.02777799,0,0
1038,11.53611077,0,0
1039,12.10555606,0,0
1040,12.76666641,0,0
1041,13.45555517,0,0
1042,14.03611077,0,0
1043,14.41666709,0,0
1044,14.60000038,0,0
1045,14.65833346,0,0
1046,14.69722218,0,0
1047,14.75555526,0,0
1048,14.79999966,0,0
1049,14.75555526,0,0
1050,14.52222188,0,0
1051,14.09444491,0,0
1052,13.55277803,0,0
1053,12.92222235,0,0
1054,12.16388914,0,0
1055,11.1972226,0,0
1056,9.994444317,0,0
1057,8.519444466,0,0
1058,7.044444614,0,0
1059,5.569444233,0,0
1060,4.094444381,0,0
1061,3.175000085,0,0
1062,2.777777778,0,0
1063,2.794444561,0,0
1064,3.002777894,0,0
1065,3.766666783,0,0
1066,5.522221989,0,0
1067,6.494444211,0,0
1068,6.847222116,0,0
1069,6.988888847,0,0
1070,7.344444593,0,0
1071,7.997222477,0,0
1072,8.825000127,0,0
1073,9.797222349,0,0
1074,10.97222222,0,0
1075,12.34999975,0,0
1076,13.70833291,0,0
1077,14.81666671,0,0
1078,15.65555573,0,0
1079,16.36944453,0,0
1080,17.00000021,0,0
1081,17.39444415,0,0
1082,17.50555568,0,0
1083,17.35277812,0,0
1084,16.91388872,0,0
1085,16.4694447,0,0
1086,16.28888872,0,0
1087,16.27777735,0,0
1088,16.30833308,0,0
1089,16.32222176,0,0
1090,16.32777744,0,0
1091,16.33611149,0,0
1092,16.41666624,0,0
1093,16.69722239,0,0
1094,17.13055505,0,0
1095,17.50555568,0,0
1096,17.69722197,0,0
1097,17.74444474,0,0
1098,17.64722188,0,0
1099,17.29722235,0,0
1100,16.75833384,0,0
1101,16.35277748,0,0
1102,16.23055564,0,0
1103,16.34444449,0,0
1104,16.72777812,0,0
1105,17.29722235,0,0
1106,17.75555505,0,0
1107,17.91111204,0,0
1108,17.88611094,0,0
1109,17.6416662,0,0
1110,17.21666654,0,0
1111,16.99722184,0,0
1112,17.03888893,0,0
1113,17.38333384,0,0
1114,18.13611137,0,0
1115,18.90000025,0,0
1116,19.2861112,0,0
1117,19.36111026,0,0
1118,19.23611111,0,0
1119,18.92222299,0,0
1120,18.59722137,0,0
1121,18.38611179,0,0
1122,18.23888991,0,0
1123,18.0277782,0,0
1124,17.56666713,0,0
1125,16.73888842,0,0
1126,15.50555547,0,0
1127,14.03055509,0,0
1128,12.55555577,0,0
1129,11.13055547,0,0
1130,10.05000008,0,0
1131,9.138889313,0,0
1132,8.280555407,0,0
1133,7.383333312,0,0
1134,6.402777566,0,0
1135,5.380555789,0,0
1136,4.522222413,0,0
1137,4.049999979,0,0
1138,3.944444391,0,0
1139,3.975000117,0,0
1140,4.04166672,0,0
1141,4.20277781,0,0
1142,4.558333291,0,0
1143,5.30277782,0,0
1144,6.241666476,0,0
1145,6.777777672,0,0
1146,6.880555683,0,0
1147,6.302777926,0,0
1148,4.827777545,0,0
1149,3.352777693,0,0
1150,3.136111101,0,0
1151,2.777777778,0,0
1152,2.777777778,0,0
1153,3.055555556,0,0
1154,3.216666645,0,0
1155,3.227777746,0,0
1156,3.313888974,0,0
1157,3.352777693,0,0
1158,5.233333376,0,0
1159,6.961110963,0,0
1160,8.28611109,0,0
1161,9.402777354,0,0
1162,10.61388863,0,0
1163,12.05555598,0,0
1164,13.58333376,0,0
1165,14.94166692,0,0
1166,16.06111103,0,0
1167,17.07500034,0,0
1168,18.06111018,0,0
1169,18.99166743,0,0
1170,19.89444521,0,0
1171,20.26944478,0,0
1172,20.64444436,0,0
1173,21.16944419,0,0
1174,21.64166768,0,0
1175,22.09166633,0,0
1176,22.49722163,0,0
1177,22.85555522,0,0
1178,23.18888982,0,0
1179,23.49444495,0,0
1180,23.74722163,0,0
1181,23.9611117,0,0
1182,24.1888894,0,0
1183,24.45833418,0,0
1184,24.75555632,0,0
1185,25.03611035,0,0
1186,25.27777778,0,0
1187,25.48333274,0,0
1188,25.65277735,0,0
1189,25.78055488,0,0
1190,25.84999932,0,0
1191,25.86666743,0,0
1192,25.86111069,0,0
1193,25.85555606,0,0
1194,25.85833232,0,0
1195,25.86944368,0,0
1196,25.88055505,0,0
1197,25.89166641,0,0
1198,25.92777676,0,0
1199,26.01666768,0,0
1200,26.17222256,0,0
1201,26.38611052,0,0
1202,26.60555522,0,0
1203,26.78333282,0,0
1204,26.89722273,0,0
1205,26.95277744,0,0
1206,26.98055479,0,0
1207,27.00555589,0,0
1208,27.03611162,0,0
